seller_state,total_orders,avg_delay_days,late_pct,revenue_at_risk
AM,3,9.0,33.33,984.26
MA,389,-11.26,19.4,9911.4
RN,51,-13.48,7.14,2902.69
SP,68635,-11.3,7.11,971089.56
RJ,4227,-12.48,6.92,64667.72
CE,87,-13.38,6.67,979.34
DF,808,-13.18,6.0,7738.88
MS,49,-17.38,6.0,618.66
ES,310,-13.36,5.77,6424.83
PR,7512,-14.23,5.3,104975.59
SC,3603,-14.2,4.85,58749.49
MG,7733,-13.47,4.79,98593.57
BA,550,-12.81,4.49,12832.39
MT,136,-15.63,4.17,1400.25
PE,403,-16.24,3.37,4873.77
RS,1962,-16.33,3.23,18945.61
PB,35,-19.78,2.7,1394.77
GO,451,-14.35,2.56,1425.93
RO,14,-24.5,0.0,0.0
PI,11,-15.0,0.0,0.0
SE,9,-17.3,0.0,0.0
PA,8,-11.38,0.0,0.0
