seller_id,seller_state,total_orders,late_rate,avg_delay_days,avg_review_score,total_revenue_at_risk,canceled_orders,reliability_score,reliability_tier
b1b3948701c5c72445495bd161b83a4c,SP,14,64.29,4.07,1.93,18307.86,0,59.71,High Risk
2709af9587499e95e803a6498a5a56e9,SP,25,50.0,-4.48,2.54,4206.39,0,83.96,Reliable
c37b2059d4f90d4feead554e5246565e,SP,12,43.75,-4.38,3.75,1971.67,0,86.89,Reliable
cb41bfbcbda0aea354a834ab222f9a59,SP,11,36.36,9.55,3.27,1727.89,0,62.72,Watchlist
26e2c91ef821e1ff8985f408788fe35b,SP,12,35.71,-0.64,3.0,479.71,0,83.42,Reliable
02dcd3e8e25bee036e32512bcf175493,MG,13,33.33,-5.93,3.93,700.14,0,95.2,Reliable
54965bbe3e4f07ae045b90b0b8541f52,PR,73,32.1,-2.4,2.88,4958.27,0,88.75,Reliable
821fb029fc6e495ca4f08a35d51e53a5,SP,24,32.0,-4.88,3.36,3565.53,0,93.76,Reliable
ede0c03645598cdfc63ca8237acbe73d,SP,43,31.91,-4.19,3.51,978.75,0,92.42,Reliable
ad781527c93d00d89a11eecd9dcad7c1,SP,38,31.58,-9.08,3.34,2511.61,0,102.37,Reliable
b19f3ca2ea475913750f25a5c37c8d8f,MG,19,31.58,-7.05,3.26,1688.71,0,98.31,Reliable
7f152321c60a266edc53af1925ef96c1,SC,20,30.0,-6.4,3.8,1560.76,0,97.8,Reliable
c4d51195486dc781531876a7d00453d8,SP,17,29.41,-12.82,3.94,2163.39,0,110.94,Reliable
2a1348e9addc1af5aaa619b1a3679d6b,MG,48,29.41,0.71,2.98,1424.16,0,83.88,Reliable
f76a3b1349b6df1ee875d1f3fa4340f0,SP,24,29.17,-5.54,3.46,1257.25,0,96.49,Reliable
054694fa03fe82cec4b7551487331d74,SP,20,28.57,-1.95,3.29,2550.58,0,89.62,Reliable
822bad9bc42b51213ba522fe87b7ab5d,SC,18,27.78,-4.44,4.11,1228.47,0,94.99,Reliable
2e1a7d075abe038c1b2743005fe42ff1,SP,18,27.27,-6.05,3.82,1516.02,0,98.46,Reliable
e504a4e2efaa45cbff7e268a2c58c956,SP,10,27.27,-7.27,3.91,378.99,0,100.91,Reliable
91f0eec23d4a61d7d7caeefa3f0ad1ca,SC,11,27.27,-5.73,3.55,672.99,0,97.82,Reliable
eb4df17aed01d918c65f0f8d650900c0,SP,11,27.27,-10.55,3.91,982.86,0,107.47,Reliable
835f0f7810c76831d6c7d24c7a646d4d,SP,42,27.08,-5.67,3.31,2142.64,0,97.8,Reliable
3a1a1fec38dd360f15fc912e821e169d,SP,15,26.67,-5.2,3.87,808.25,0,97.06,Reliable
02d35243ea2e497335cd0f076b45675d,RN,14,25.0,-6.25,2.69,2902.69,0,100.0,Reliable
e64d65bc8dbec2accda90c58de5d1246,SP,12,25.0,-7.33,3.08,517.09,0,102.16,Reliable
ecccfa2bb93b34a3bf033cc5d1dcdc69,PR,12,25.0,-13.62,2.5,116.17,0,114.74,Reliable
5b581417df4480f632484ba681e53944,SC,11,25.0,-4.33,3.5,958.54,0,96.16,Reliable
71039d19d4303bf9054d69e9a9236699,SP,35,23.68,-7.26,3.68,1274.4,0,102.68,Reliable
5b0cc932433fa5184b5b94bfe6bcc256,SP,12,23.53,-8.65,3.47,744.0,0,105.53,Reliable
a066df7361163e7ddc5d7452dd17448b,SP,15,23.53,-8.35,4.47,450.42,0,104.94,Reliable
5abb8ea023c77787f2c15da891c8d384,SC,13,23.08,-7.15,3.92,736.62,0,102.76,Reliable
0417b067eeab773d2f7061a726dc477f,SC,13,23.08,-3.92,3.92,407.88,0,96.3,Reliable
1dfe5347016252a7884b694d4f10f5c4,SP,20,23.08,-7.69,3.19,627.83,0,103.84,Reliable
bbad7e518d7af88a0897397ffdca1979,SP,68,22.62,-7.02,3.01,2872.52,0,102.73,Reliable
6ec1a01e866584bb679eb9b098345919,SP,30,22.58,-5.13,3.97,1422.12,0,98.97,Reliable
beadbee30901a7f61d031b6b686095ad,SP,64,22.06,-9.66,3.94,1509.05,0,108.29,Reliable
6039e27294dc75811c0d8a39069f52c0,SP,63,21.62,-7.09,3.86,11997.45,0,103.37,Reliable
7fc87cc3e89b3d1d5cabdca32f8485aa,SP,14,21.43,-9.0,3.57,710.52,0,107.28,Reliable
13074f016982ff2bd6c58ced8682f000,RS,13,21.43,-8.07,4.14,650.17,0,105.42,Reliable
5f67c6082caacb26e431a7b17940cece,PR,13,21.43,-1.86,3.57,295.15,0,93.0,Reliable
a49928bcdf77c55c6d6e05e09a9b4ca5,SP,96,21.15,-4.59,2.97,2396.53,0,98.6,Reliable
a44fb5a447105f8469bdf16bf9159f25,RS,19,21.05,-7.0,4.05,431.02,0,103.47,Reliable
4e5725ba188db8252977a4f0227bd462,SP,21,20.83,-2.75,3.54,290.31,0,95.09,Reliable
ef990a83bbea832f36ebe81376335aa8,SC,43,20.45,-8.45,3.66,1157.66,0,106.68,Reliable
712e6ed8aa4aa1fa65dab41fed5737e4,SC,77,20.0,-9.81,3.42,10104.96,0,109.62,Reliable
2aa3443d7bf9d9bb11133f420d75e083,RJ,10,20.0,-8.9,3.0,119.57,0,107.8,Reliable
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,SP,20,20.0,-9.1,3.65,5481.11,0,108.2,Reliable
a13580f0e8f782b7a543885a0ef99f08,RJ,10,20.0,-8.5,4.4,356.64,0,107.0,Reliable
66e0557ecc2b4dbea057e93f215f68d8,SP,30,20.0,-8.9,4.03,2365.57,0,107.8,Reliable
fdaaf5bfda82b7b80535610c831b8d09,SP,10,20.0,-10.87,3.93,1241.91,0,111.74,Reliable
851773c885feb5e2da3b4f82bc2b17ce,SP,10,20.0,-8.5,4.2,233.56,0,107.0,Reliable
