product_id,category,stockout_risk_score,total_orders,seller_count,avg_order_value
aca2eb7d00ea1a7b8ebd4e68314663af,furniture_decor,263.5,425,1,121.11
422879e10f46682990de24d770e7f83d,garden_tools,242.0,352,1,164.28
389d119b48cf3043d311335e499d9c6b,garden_tools,196.0,309,1,124.3
368c6c730842d78016ad823897a372db,garden_tools,194.0,291,1,135.33
53759a2ecddad2bb87a079a1f1519f73,garden_tools,186.5,287,1,143.29
d1c427060a0f73f6b889a5c7c61f2ac4,computers_accessories,171.5,313,1,204.94
99a4788cb24856965c36a24e339b6058,bed_bath_table,162.67,456,2,129.97
154e7e31ebfa092203795c972e5804a6,health_beauty,140.5,262,1,42.29
3dd2a17168ec895c781a9191c1e95ad7,computers_accessories,137.0,253,1,215.54
2b4609f8948be18874494203496bc318,health_beauty,130.0,254,1,108.4
7c1bd920dbdf22470b68bde975dd3ccf,health_beauty,115.5,214,1,81.91
a62e25e09e05e6faf31d90c6ec1aa3d1,watches_gifts,113.0,170,1,280.86
5a848e4ab52fd5445cdc07aab1c40e48,unknown,98.5,187,1,143.37
bb50f2e236e5eea0100680137654686c,health_beauty,97.5,186,1,420.31
42a2c92a0979a949ca4ea89ec5c7b934,housewares,91.5,154,1,100.94
b532349fe46b38fbc7bb3914c1bdae07,furniture_decor,84.5,74,1,134.66
53b36df67ebb7c41585e8d54d6772e08,watches_gifts,80.75,304,3,151.87
a92930c327948861c015c919a0bcb4a8,watches_gifts,80.0,154,1,98.21
6cdd53843498f92890544667809f1595,health_beauty,78.0,148,1,416.11
19c91ef95d509ea33eda93495c4d3481,health_beauty,78.0,153,1,158.76
